filename,bugis,indo
1_copy_1,makenni maneng mopa manu'ku,semua ayam saya masih kecil
1_copy_2,makenni maneng mopa manu'ku,semua ayam saya masih kecil
1_copy_3,makenni maneng mopa manu'ku,semua ayam saya masih kecil
1_copy_4,makenni maneng mopa manu'ku,semua ayam saya masih kecil
1_copy_5,makenni maneng mopa manu'ku,semua ayam saya masih kecil
1_copy_6,makenni maneng mopa manu'ku,semua ayam saya masih kecil
1_copy_7,makenni maneng mopa manu'ku,semua ayam saya masih kecil
1_copy_8,makenni maneng mopa manu'ku,semua ayam saya masih kecil
1_copy_9,makenni maneng mopa manu'ku,semua ayam saya masih kecil
1_copy_10,makenni maneng mopa manu'ku,semua ayam saya masih kecil
1_copy_11,makenni maneng mopa manu'ku,semua ayam saya masih kecil
1_copy_12,makenni maneng mopa manu'ku,semua ayam saya masih kecil
1_copy_13,makenni maneng mopa manu'ku,semua ayam saya masih kecil
1_copy_14,makenni maneng mopa manu'ku,semua ayam saya masih kecil
1_copy_15,makenni maneng mopa manu'ku,semua ayam saya masih kecil
1_copy_16,makenni maneng mopa manu'ku,semua ayam saya masih kecil
1_copy_17,makenni maneng mopa manu'ku,semua ayam saya masih kecil
1_copy_18,makenni maneng mopa manu'ku,semua ayam saya masih kecil
1_copy_19,makenni maneng mopa manu'ku,semua ayam saya masih kecil
1_copy_20,makenni maneng mopa manu'ku,semua ayam saya masih kecil
1_copy_21,makenni maneng mopa manu'ku,semua ayam saya masih kecil
1_copy_22,makenni maneng mopa manu'ku,semua ayam saya masih kecil
1_copy_23,makenni maneng mopa manu'ku,semua ayam saya masih kecil
1_copy_24,makenni maneng mopa manu'ku,semua ayam saya masih kecil
1_copy_25,makenni maneng mopa manu'ku,semua ayam saya masih kecil
1_copy_26,makenni maneng mopa manu'ku,semua ayam saya masih kecil
1_copy_27,makenni maneng mopa manu'ku,semua ayam saya masih kecil
1_copy_28,makenni maneng mopa manu'ku,semua ayam saya masih kecil
1_copy_29,makenni maneng mopa manu'ku,semua ayam saya masih kecil
1_copy_30,makenni maneng mopa manu'ku,semua ayam saya masih kecil
1_copy_31,makenni maneng mopa manu'ku,semua ayam saya masih kecil
1_copy_32,makenni maneng mopa manu'ku,semua ayam saya masih kecil
1_copy_33,makenni maneng mopa manu'ku,semua ayam saya masih kecil
1_copy_34,makenni maneng mopa manu'ku,semua ayam saya masih kecil
1_copy_35,makenni maneng mopa manu'ku,semua ayam saya masih kecil
1_copy_36,makenni maneng mopa manu'ku,semua ayam saya masih kecil
1_copy_37,makenni maneng mopa manu'ku,semua ayam saya masih kecil
1_copy_38,makenni maneng mopa manu'ku,semua ayam saya masih kecil
1_copy_39,makenni maneng mopa manu'ku,semua ayam saya masih kecil
1_copy_40,makenni maneng mopa manu'ku,semua ayam saya masih kecil
1_copy_41,makenni maneng mopa manu'ku,semua ayam saya masih kecil
1_copy_42,makenni maneng mopa manu'ku,semua ayam saya masih kecil
1_copy_43,makenni maneng mopa manu'ku,semua ayam saya masih kecil
1_copy_44,makenni maneng mopa manu'ku,semua ayam saya masih kecil
1_copy_45,makenni maneng mopa manu'ku,semua ayam saya masih kecil
1_copy_46,makenni maneng mopa manu'ku,semua ayam saya masih kecil
1_copy_47,makenni maneng mopa manu'ku,semua ayam saya masih kecil
1_copy_48,makenni maneng mopa manu'ku,semua ayam saya masih kecil
1_copy_49,makenni maneng mopa manu'ku,semua ayam saya masih kecil
1_copy_50,makenni maneng mopa manu'ku,semua ayam saya masih kecil
2_copy_1,winda iya' aseng ku,Nama saya Winda
2_copy_2,winda iya' aseng ku,Nama saya Winda
2_copy_3,winda iya' aseng ku,Nama saya Winda
2_copy_4,winda iya' aseng ku,Nama saya Winda
2_copy_5,winda iya' aseng ku,Nama saya Winda
